,date,away,home,time,stadium,address,city,street
1239,"Monday, June 24, 2024",Pittsburgh Pirates,Cincinnati Reds,7:10 pm,100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
1240,"Monday, June 24, 2024",Atlanta Braves,St. Louis Cardinals,7:45 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
1241,"Monday, June 24, 2024",Los Angeles Dodgers,Chicago White Sox,8:10 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
1242,"Monday, June 24, 2024",Miami Marlins,Kansas City Royals,8:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1243,"Monday, June 24, 2024",Texas Rangers,Milwaukee Brewers,8:10 pm,One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
1244,"Monday, June 24, 2024",Oakland Athletics,Los Angeles Angels,9:38 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
1245,"Monday, June 24, 2024",Washington Nationals,San Diego Padres,9:40 pm,100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
1246,"Monday, June 24, 2024",Chicago Cubs,San Francisco Giants,9:45 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
1247,"Tuesday, June 25, 2024",Cleveland Guardians,Baltimore Orioles,6:35 pm,333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
1248,"Tuesday, June 25, 2024",Philadelphia Phillies,Detroit Tigers,6:40 pm,2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
1249,"Tuesday, June 25, 2024",Seattle Mariners,Tampa Bay Rays,6:50 pm,One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
1250,"Tuesday, June 25, 2024",Toronto Blue Jays,Boston Red Sox,7:10 pm,4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
1251,"Tuesday, June 25, 2024",Pittsburgh Pirates,Cincinnati Reds,7:10 pm,100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
1252,"Tuesday, June 25, 2024",New York Yankees,New York Mets,7:10 pm,41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
1253,"Tuesday, June 25, 2024",Atlanta Braves,St. Louis Cardinals,7:45 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
1254,"Tuesday, June 25, 2024",Los Angeles Dodgers,Chicago White Sox,8:10 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
1255,"Tuesday, June 25, 2024",Colorado Rockies,Houston Astros,8:10 pm,501 Crawford Street,"501 Crawford Street, Houston, TX 77002","Houston, TX",501 Crawford Street
1256,"Tuesday, June 25, 2024",Miami Marlins,Kansas City Royals,8:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1257,"Tuesday, June 25, 2024",Texas Rangers,Milwaukee Brewers,8:10 pm,One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
1258,"Tuesday, June 25, 2024",Oakland Athletics,Los Angeles Angels,9:38 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
1259,"Tuesday, June 25, 2024",Minnesota Twins,Arizona D'Backs,9:40 pm,,,,
1260,"Tuesday, June 25, 2024",Washington Nationals,San Diego Padres,9:40 pm,100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
1261,"Tuesday, June 25, 2024",Chicago Cubs,San Francisco Giants,9:45 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
1262,"Wednesday, June 26, 2024",Seattle Mariners,Tampa Bay Rays,12:10 pm,One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
1263,"Wednesday, June 26, 2024",Pittsburgh Pirates,Cincinnati Reds,1:10 pm,100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
1264,"Wednesday, June 26, 2024",Philadelphia Phillies,Detroit Tigers,1:10 pm,2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
1265,"Wednesday, June 26, 2024",Colorado Rockies,Houston Astros,2:10 pm,501 Crawford Street,"501 Crawford Street, Houston, TX 77002","Houston, TX",501 Crawford Street
1266,"Wednesday, June 26, 2024",Miami Marlins,Kansas City Royals,2:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1267,"Wednesday, June 26, 2024",Texas Rangers,Milwaukee Brewers,2:10 pm,One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
1268,"Wednesday, June 26, 2024",Oakland Athletics,Los Angeles Angels,4:07 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
1269,"Wednesday, June 26, 2024",Washington Nationals,San Diego Padres,4:10 pm,100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
1270,"Wednesday, June 26, 2024",Cleveland Guardians,Baltimore Orioles,6:35 pm,333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
1271,"Wednesday, June 26, 2024",Toronto Blue Jays,Boston Red Sox,7:10 pm,4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
1272,"Wednesday, June 26, 2024",New York Yankees,New York Mets,7:10 pm,41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
1273,"Wednesday, June 26, 2024",Atlanta Braves,St. Louis Cardinals,7:15 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
1274,"Wednesday, June 26, 2024",Los Angeles Dodgers,Chicago White Sox,8:10 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
1275,"Wednesday, June 26, 2024",Minnesota Twins,Arizona D'Backs,9:40 pm,,,,
1276,"Wednesday, June 26, 2024",Chicago Cubs,San Francisco Giants,9:45 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
1277,"Thursday, June 27, 2024",Minnesota Twins,Arizona D'Backs,3:40 pm,,,,
1278,"Thursday, June 27, 2024",Chicago Cubs,San Francisco Giants,3:45 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
1279,"Thursday, June 27, 2024",Atlanta Braves,Chicago White Sox,4:10 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
1280,"Thursday, June 27, 2024",Miami Marlins,Philadelphia Phillies,6:20 pm,One Citizens Bank Way,"One Citizens Bank Way, Philadelphia, PA 19148","Philadelphia, PA",One Citizens Bank Way
1281,"Thursday, June 27, 2024",Texas Rangers,Baltimore Orioles,6:35 pm,333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
1282,"Thursday, June 27, 2024",New York Yankees,Toronto Blue Jays,7:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1283,"Thursday, June 27, 2024",Cincinnati Reds,St. Louis Cardinals,7:45 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
1284,"Thursday, June 27, 2024",Cleveland Guardians,Kansas City Royals,8:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1285,"Thursday, June 27, 2024",Detroit Tigers,Los Angeles Angels,9:38 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
1286,"Friday, June 28, 2024",Miami Marlins,Philadelphia Phillies,6:20 pm,One Citizens Bank Way,"One Citizens Bank Way, Philadelphia, PA 19148","Philadelphia, PA",One Citizens Bank Way
1287,"Friday, June 28, 2024",Washington Nationals,Tampa Bay Rays,6:50 pm,One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
1288,"Friday, June 28, 2024",Texas Rangers,Baltimore Orioles,7:05 pm,333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
1289,"Friday, June 28, 2024",New York Yankees,Toronto Blue Jays,7:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1290,"Friday, June 28, 2024",San Diego Padres,Boston Red Sox,7:10 pm,4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
1291,"Friday, June 28, 2024",Colorado Rockies,Chicago White Sox,7:10 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
1292,"Friday, June 28, 2024",Houston Astros,New York Mets,7:10 pm,41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
1293,"Friday, June 28, 2024",Pittsburgh Pirates,Atlanta Braves,7:20 pm,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
1294,"Friday, June 28, 2024",Cleveland Guardians,Kansas City Royals,8:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1295,"Friday, June 28, 2024",Chicago Cubs,Milwaukee Brewers,8:10 pm,One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
1296,"Friday, June 28, 2024",Cincinnati Reds,St. Louis Cardinals,8:15 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
1297,"Friday, June 28, 2024",Detroit Tigers,Los Angeles Angels,9:38 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
1298,"Friday, June 28, 2024",Oakland Athletics,Arizona D'Backs,9:40 pm,,,,
1299,"Friday, June 28, 2024",Minnesota Twins,Seattle Mariners,9:40 pm,P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
1300,"Friday, June 28, 2024",Los Angeles Dodgers,San Francisco Giants,10:15 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
1301,"Saturday, June 29, 2024",Colorado Rockies,Chicago White Sox,2:10 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
1302,"Saturday, June 29, 2024",Cincinnati Reds,St. Louis Cardinals,2:15 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
1303,"Saturday, June 29, 2024",New York Yankees,Toronto Blue Jays,3:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1304,"Saturday, June 29, 2024",Miami Marlins,Philadelphia Phillies,4:05 pm,One Citizens Bank Way,"One Citizens Bank Way, Philadelphia, PA 19148","Philadelphia, PA",One Citizens Bank Way
1305,"Saturday, June 29, 2024",Oakland Athletics,Arizona D'Backs,4:10 pm,,,,
1306,"Saturday, June 29, 2024",Pittsburgh Pirates,Atlanta Braves,4:10 pm,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
1307,"Saturday, June 29, 2024",San Diego Padres,Boston Red Sox,4:10 pm,4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
1308,"Saturday, June 29, 2024",Cleveland Guardians,Kansas City Royals,4:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1309,"Saturday, June 29, 2024",Chicago Cubs,Milwaukee Brewers,4:10 pm,One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
1310,"Saturday, June 29, 2024",Houston Astros,New York Mets,4:10 pm,41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
1311,"Saturday, June 29, 2024",Washington Nationals,Tampa Bay Rays,4:10 pm,One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
1312,"Saturday, June 29, 2024",Texas Rangers,Baltimore Orioles,7:15 pm,333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
1313,"Saturday, June 29, 2024",Los Angeles Dodgers,San Francisco Giants,7:15 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
1314,"Saturday, June 29, 2024",Detroit Tigers,Los Angeles Angels,10:07 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
1315,"Saturday, June 29, 2024",Minnesota Twins,Seattle Mariners,10:10 pm,P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
1316,"Sunday, June 30, 2024",Pittsburgh Pirates,Atlanta Braves,11:35 am,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
1317,"Sunday, June 30, 2024",Texas Rangers,Baltimore Orioles,1:35 pm,333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
1318,"Sunday, June 30, 2024",San Diego Padres,Boston Red Sox,1:35 pm,4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
1319,"Sunday, June 30, 2024",Miami Marlins,Philadelphia Phillies,1:35 pm,One Citizens Bank Way,"One Citizens Bank Way, Philadelphia, PA 19148","Philadelphia, PA",One Citizens Bank Way
1320,"Sunday, June 30, 2024",New York Yankees,Toronto Blue Jays,1:37 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1321,"Sunday, June 30, 2024",Houston Astros,New York Mets,1:40 pm,41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
1322,"Sunday, June 30, 2024",Washington Nationals,Tampa Bay Rays,1:40 pm,One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
1323,"Sunday, June 30, 2024",Colorado Rockies,Chicago White Sox,2:10 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
1324,"Sunday, June 30, 2024",Cleveland Guardians,Kansas City Royals,2:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1325,"Sunday, June 30, 2024",Chicago Cubs,Milwaukee Brewers,2:10 pm,One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
1326,"Sunday, June 30, 2024",Cincinnati Reds,St. Louis Cardinals,2:15 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
1327,"Sunday, June 30, 2024",Los Angeles Dodgers,San Francisco Giants,4:05 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
1328,"Sunday, June 30, 2024",Detroit Tigers,Los Angeles Angels,4:07 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
1329,"Sunday, June 30, 2024",Oakland Athletics,Arizona D'Backs,4:10 pm,,,,
1330,"Sunday, June 30, 2024",Minnesota Twins,Seattle Mariners,4:10 pm,P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
1331,"Monday, July 1, 2024",Houston Astros,Toronto Blue Jays,3:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1332,"Monday, July 1, 2024",New York Mets,Washington Nationals,6:45 pm,"1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
1333,"Monday, July 1, 2024",Milwaukee Brewers,Colorado Rockies,8:40 pm,2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
1334,"Tuesday, July 2, 2024",Chicago White Sox,Cleveland Guardians,6:40 pm,2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
1335,"Tuesday, July 2, 2024",Boston Red Sox,Miami Marlins,6:40 pm,501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
1336,"Tuesday, July 2, 2024",St. Louis Cardinals,Pittsburgh Pirates,6:40 pm,115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
1337,"Tuesday, July 2, 2024",New York Mets,Washington Nationals,6:45 pm,"1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
1338,"Tuesday, July 2, 2024",Cincinnati Reds,New York Yankees,7:05 pm,One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
1339,"Tuesday, July 2, 2024",Houston Astros,Toronto Blue Jays,7:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1340,"Tuesday, July 2, 2024",San Francisco Giants,Atlanta Braves,7:20 pm,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
1341,"Tuesday, July 2, 2024",Detroit Tigers,Minnesota Twins,7:40 pm,1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
1342,"Tuesday, July 2, 2024",Philadelphia Phillies,Chicago Cubs,8:05 pm,1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
1343,"Tuesday, July 2, 2024",San Diego Padres,Texas Rangers,8:05 pm,734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
1344,"Tuesday, July 2, 2024",Tampa Bay Rays,Kansas City Royals,8:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1345,"Tuesday, July 2, 2024",Milwaukee Brewers,Colorado Rockies,8:40 pm,2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
1346,"Tuesday, July 2, 2024",Los Angeles Angels,Oakland Athletics,9:40 pm,7000 Coliseum Way,"7000 Coliseum Way, Oakland, CA 94621","Oakland, CA",7000 Coliseum Way
1347,"Tuesday, July 2, 2024",Baltimore Orioles,Seattle Mariners,9:40 pm,P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
1348,"Tuesday, July 2, 2024",Arizona D'Backs,Los Angeles Dodgers,10:10 pm,1000 Vin Scully Avenue,"1000 Vin Scully Avenue, Los Angeles, CA 90012","Los Angeles, CA",1000 Vin Scully Avenue
1349,"Wednesday, July 3, 2024",Chicago White Sox,Cleveland Guardians,6:40 pm,2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
1350,"Wednesday, July 3, 2024",Boston Red Sox,Miami Marlins,6:40 pm,501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
1351,"Wednesday, July 3, 2024",St. Louis Cardinals,Pittsburgh Pirates,6:40 pm,115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
1352,"Wednesday, July 3, 2024",New York Mets,Washington Nationals,6:45 pm,"1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
1353,"Wednesday, July 3, 2024",Cincinnati Reds,New York Yankees,7:05 pm,One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
1354,"Wednesday, July 3, 2024",Houston Astros,Toronto Blue Jays,7:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1355,"Wednesday, July 3, 2024",San Francisco Giants,Atlanta Braves,7:20 pm,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
1356,"Wednesday, July 3, 2024",Philadelphia Phillies,Chicago Cubs,8:05 pm,1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
1357,"Wednesday, July 3, 2024",San Diego Padres,Texas Rangers,8:05 pm,734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
1358,"Wednesday, July 3, 2024",Tampa Bay Rays,Kansas City Royals,8:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1359,"Wednesday, July 3, 2024",Detroit Tigers,Minnesota Twins,8:10 pm,1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
1360,"Wednesday, July 3, 2024",Milwaukee Brewers,Colorado Rockies,8:40 pm,2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
1361,"Wednesday, July 3, 2024",Los Angeles Angels,Oakland Athletics,9:40 pm,7000 Coliseum Way,"7000 Coliseum Way, Oakland, CA 94621","Oakland, CA",7000 Coliseum Way
1362,"Wednesday, July 3, 2024",Arizona D'Backs,Los Angeles Dodgers,10:10 pm,1000 Vin Scully Avenue,"1000 Vin Scully Avenue, Los Angeles, CA 90012","Los Angeles, CA",1000 Vin Scully Avenue
1363,"Wednesday, July 3, 2024",Baltimore Orioles,Seattle Mariners,10:10 pm,P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
1364,"Thursday, July 4, 2024",New York Mets,Washington Nationals,11:05 am,"1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
1365,"Thursday, July 4, 2024",St. Louis Cardinals,Pittsburgh Pirates,12:35 pm,115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
1366,"Thursday, July 4, 2024",Cincinnati Reds,New York Yankees,1:05 pm,One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
1367,"Thursday, July 4, 2024",Houston Astros,Toronto Blue Jays,1:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
1368,"Thursday, July 4, 2024",Chicago White Sox,Cleveland Guardians,1:10 pm,2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
1369,"Thursday, July 4, 2024",Boston Red Sox,Miami Marlins,1:10 pm,501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
1370,"Thursday, July 4, 2024",Detroit Tigers,Minnesota Twins,2:10 pm,1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
1371,"Thursday, July 4, 2024",Philadelphia Phillies,Chicago Cubs,2:20 pm,1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
1372,"Thursday, July 4, 2024",San Diego Padres,Texas Rangers,2:35 pm,734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
1373,"Thursday, July 4, 2024",Los Angeles Angels,Oakland Athletics,4:07 pm,7000 Coliseum Way,"7000 Coliseum Way, Oakland, CA 94621","Oakland, CA",7000 Coliseum Way
1374,"Thursday, July 4, 2024",Baltimore Orioles,Seattle Mariners,4:10 pm,P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
1375,"Thursday, July 4, 2024",San Francisco Giants,Atlanta Braves,7:20 pm,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
1376,"Thursday, July 4, 2024",Milwaukee Brewers,Colorado Rockies,8:10 pm,2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
1377,"Thursday, July 4, 2024",Tampa Bay Rays,Kansas City Royals,8:10 pm,One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
1378,"Thursday, July 4, 2024",Arizona D'Backs,Los Angeles Dodgers,9:10 pm,1000 Vin Scully Avenue,"1000 Vin Scully Avenue, Los Angeles, CA 90012","Los Angeles, CA",1000 Vin Scully Avenue
1379,"Friday, July 5, 2024",Los Angeles Angels,Chicago Cubs,2:20 pm,1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
1380,"Friday, July 5, 2024",New York Mets,Pittsburgh Pirates,6:40 pm,115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
1381,"Friday, July 5, 2024",St. Louis Cardinals,Washington Nationals,6:45 pm,"1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
1382,"Friday, July 5, 2024",Boston Red Sox,New York Yankees,7:05 pm,One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
1383,"Friday, July 5, 2024",Detroit Tigers,Cincinnati Reds,7:10 pm,100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
1384,"Friday, July 5, 2024",San Francisco Giants,Cleveland Guardians,7:10 pm,2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
1385,"Friday, July 5, 2024",Chicago White Sox,Miami Marlins,7:10 pm,501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
1386,"Friday, July 5, 2024",Philadelphia Phillies,Atlanta Braves,7:20 pm,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
1387,"Friday, July 5, 2024",Tampa Bay Rays,Texas Rangers,8:05 pm,734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
